rmsd_before=17.517328259230247, rmsd_after=1.5811497942259825
rmsd_before=17.525875889535836, rmsd_after=1.5723752889413987
rmsd_before=17.371381267978737, rmsd_after=1.4506451772596172
rmsd_before=17.34034341160269, rmsd_after=1.5830719515557823
rmsd_before=17.208144970794024, rmsd_after=1.4084488160337334
rmsd_before=17.123349611307297, rmsd_after=1.5256171153382578
rmsd_before=17.118101445107065, rmsd_after=1.4945885374965036
rmsd_before=16.986812293871488, rmsd_after=1.6273952172658919
rmsd_before=17.035048504143703, rmsd_after=1.6412706656644132
rmsd_before=16.92268709293406, rmsd_after=1.7353394332097782
rmsd_before=16.84957792257102, rmsd_after=1.6277957594683112
rmsd_before=16.806767223293054, rmsd_after=1.7601126845092052
rmsd_before=16.600866466231828, rmsd_after=1.5526816917634167
rmsd_before=16.602835514765705, rmsd_after=1.7080288677719417
rmsd_before=16.40307601755508, rmsd_after=1.4906067159267649
rmsd_before=16.396637645039906, rmsd_after=1.6526202324305288
rmsd_before=16.279104524242967, rmsd_after=1.5198613826357872
rmsd_before=16.24949688055858, rmsd_after=1.68105330007857
rmsd_before=16.203156354019708, rmsd_after=1.6293195865729806
rmsd_before=16.184689710035816, rmsd_after=1.7749845084263525
rmsd_before=16.214558743790857, rmsd_after=1.7272112017865369
rmsd_before=16.23929567983289, rmsd_after=1.790813943447729
rmsd_before=16.31740474240361, rmsd_after=1.6721428462158463
rmsd_before=16.351372038066323, rmsd_after=1.789613758006969
rmsd_before=16.34962353954328, rmsd_after=1.5825267371136738
rmsd_before=16.371011441137117, rmsd_after=1.7320572367446987
rmsd_before=16.22038985579181, rmsd_after=1.5017908030851501
rmsd_before=16.2062161010919, rmsd_after=1.6130709848950213
rmsd_before=16.450265273131734, rmsd_after=1.8702384852285776
rmsd_before=16.55652369660284, rmsd_after=1.651963632717588
rmsd_before=16.699361372442397, rmsd_after=1.8851453416274488
rmsd_before=16.756130801426128, rmsd_after=1.6760577835084918
rmsd_before=16.84685149221826, rmsd_after=1.8901632188204107
rmsd_before=16.90992670221474, rmsd_after=1.6918358340443709
rmsd_before=17.031665615936568, rmsd_after=1.8991124349837512
rmsd_before=17.149017706851595, rmsd_after=1.7055590498235413
rmsd_before=17.317639724199864, rmsd_after=1.9138804584593678
rmsd_before=17.462213000251396, rmsd_after=1.7082663572830319
rmsd_before=17.628834243489024, rmsd_after=1.8862139385347336
rmsd_before=17.750495677005674, rmsd_after=1.7061485393706866
rmsd_before=17.9010351243412, rmsd_after=1.8880283416450878
rmsd_before=17.986705147109063, rmsd_after=1.7272033537356912
rmsd_before=18.166156096434026, rmsd_after=1.9023807177083203
rmsd_before=18.265603053435676, rmsd_after=1.7479917026126968
rmsd_before=18.501843489968707, rmsd_after=1.89223577516116
rmsd_before=18.665758060339066, rmsd_after=1.7347476836487656
rmsd_before=18.443109027301137, rmsd_after=1.660420654558035
rmsd_before=18.29439864476303, rmsd_after=1.6691675707489488
rmsd_before=18.200479405809563, rmsd_after=1.562929715133563
rmsd_before=18.113576453839304, rmsd_after=1.5628756275006412
rmsd_before=18.159321823936608, rmsd_after=1.5009229325878155
rmsd_before=18.123858875427217, rmsd_after=1.4923248982558048
rmsd_before=18.16103051914952, rmsd_after=1.5144105270914112
rmsd_before=18.114127806230954, rmsd_after=1.4835669501737774
rmsd_before=18.07942283359957, rmsd_after=1.5662585777944795
rmsd_before=17.991234858011723, rmsd_after=1.5138286150357187
rmsd_before=17.93023559425372, rmsd_after=1.6016739089678314
rmsd_before=17.840622630815822, rmsd_after=1.553041301750766
rmsd_before=17.76145248436974, rmsd_after=1.5982011093785653
rmsd_before=17.725072341619416, rmsd_after=1.578370705003942
rmsd_before=17.606858368616127, rmsd_after=1.5662738360790267
rmsd_before=17.62093932900771, rmsd_after=1.5793806080826107
rmsd_before=17.388565896951278, rmsd_after=1.4913310211300514
rmsd_before=17.292439602183734, rmsd_after=1.5835537274583882
rmsd_before=17.133725900744, rmsd_after=1.5468120423810456
rmsd_before=17.005935087390448, rmsd_after=1.6257083754082873
rmsd_before=16.915190109992803, rmsd_after=1.5719995983686599
rmsd_before=16.753926958647426, rmsd_after=1.6825230319939235
rmsd_before=16.689316510127146, rmsd_after=1.600152824635609
rmsd_before=16.51725253495015, rmsd_after=1.6883189248957657
rmsd_before=16.436080250250864, rmsd_after=1.5999386921425234
rmsd_before=16.4877481598441, rmsd_after=1.3631280604357732
rmsd_before=16.68275699435902, rmsd_after=1.5727349303403884
rmsd_before=16.780431716595356, rmsd_after=1.3276277507856897
rmsd_before=16.919333361855887, rmsd_after=1.5857698342353377
rmsd_before=17.05617226067951, rmsd_after=1.3525890496131727
rmsd_before=17.13271241949488, rmsd_after=1.5794858338120166
rmsd_before=17.042674399391323, rmsd_after=1.7713447113172145
rmsd_before=16.74112718383217, rmsd_after=1.5515751054119489
rmsd_before=16.603053014778077, rmsd_after=1.6912556903245368
rmsd_before=16.400627406492767, rmsd_after=1.498817527795307
rmsd_before=16.237335522120755, rmsd_after=1.549923672092573
rmsd_before=16.1532647037838, rmsd_after=1.5144421509461328
rmsd_before=15.968574582944026, rmsd_after=1.5632899809257008
rmsd_before=15.909218603724122, rmsd_after=1.5296886363695612
rmsd_before=15.718928987814726, rmsd_after=1.5830075908601495
rmsd_before=15.625481330379833, rmsd_after=1.5375522603061946
rmsd_before=15.449771605521468, rmsd_after=1.5980706099647861
rmsd_before=15.136072211069193, rmsd_after=1.3694929548785266
rmsd_before=15.052164343365389, rmsd_after=1.5667984092618155
rmsd_before=14.737588653953257, rmsd_after=1.3249445952342511
rmsd_before=14.655802133874236, rmsd_after=1.5004048415257178
rmsd_before=14.532012319835253, rmsd_after=1.4306316075094794
rmsd_before=14.408122525853502, rmsd_after=1.4792732574297816
rmsd_before=14.301840639815957, rmsd_after=1.5246547212679233
rmsd_before=14.18775416974747, rmsd_after=1.5936447104864429
rmsd_before=14.02640281519053, rmsd_after=1.5934003061541884
rmsd_before=13.929425374062351, rmsd_after=1.69125390444519
rmsd_before=13.796452671547401, rmsd_after=1.598876035730514
rmsd_before=13.679655019361048, rmsd_after=1.4613269436314766
rmsd_before=13.555981223871392, rmsd_after=1.3065276865193134
rmsd_before=13.855042689702898, rmsd_after=1.186049819636615
rmsd_before=14.209373543301272, rmsd_after=1.3395343078007913
rmsd_before=14.49570624605933, rmsd_after=1.2326502061074671
rmsd_before=14.826765977455896, rmsd_after=1.384534140004863
rmsd_before=15.104406526325082, rmsd_after=1.2835142092931213
rmsd_before=15.413290964466354, rmsd_after=1.4173117386950873
rmsd_before=15.695281786984312, rmsd_after=1.311733273194113
rmsd_before=16.010334528187226, rmsd_after=1.40567365664729
rmsd_before=16.31027002333808, rmsd_after=1.3027948011811343
rmsd_before=16.65816983962072, rmsd_after=1.3758982426990067
rmsd_before=16.95770265170719, rmsd_after=1.2667028338292208
rmsd_before=17.326207185446233, rmsd_after=1.3514231020706526
rmsd_before=17.645069462528948, rmsd_after=1.220621560043387
rmsd_before=17.420985954598695, rmsd_after=1.0239683934861865
rmsd_before=17.318194486245194, rmsd_after=1.1006848708030987
rmsd_before=17.278838238439565, rmsd_after=1.059375680092623
rmsd_before=17.165676148015844, rmsd_after=1.1412681369734012
rmsd_before=17.086733065373423, rmsd_after=1.1002626573696817
rmsd_before=16.964628286948894, rmsd_after=1.230560380922004
rmsd_before=16.704659086207663, rmsd_after=1.0113945167838239
rmsd_before=16.576898753589123, rmsd_after=1.067716788358456
rmsd_before=16.338240661965774, rmsd_after=0.8438616005096874
rmsd_before=16.44813357055584, rmsd_after=0.6675202129512995
rmsd_before=16.666647022821607, rmsd_after=0.8934776732311783
rmsd_before=16.841676372201146, rmsd_after=0.8477261795645077
rmsd_before=17.1267625053507, rmsd_after=1.0739608556941365
rmsd_before=17.349047185683382, rmsd_after=1.1119285670709493
rmsd_before=17.586704502136783, rmsd_after=1.2079455333905564
rmsd_before=17.831667954798455, rmsd_after=0.9649498295689151
rmsd_before=18.152080850513876, rmsd_after=1.1015750195055345
rmsd_before=18.354140473526748, rmsd_after=0.946892651106593
rmsd_before=18.624042743686072, rmsd_after=0.9707012933453238
rmsd_before=18.88806044863717, rmsd_after=0.9497904954900338
rmsd_before=18.649146749253664, rmsd_after=0.7711687354515214
rmsd_before=18.507721536529917, rmsd_after=0.7588822066374519
rmsd_before=18.284648395712928, rmsd_after=0.5624355301318488
rmsd_before=18.157282532646413, rmsd_after=0.6237887363162594
rmsd_before=17.97624583631467, rmsd_after=0.5515953109032511
rmsd_before=17.863990630574143, rmsd_after=0.6173351092994045
rmsd_before=17.738391991321357, rmsd_after=0.6299756877870365
rmsd_before=17.64270159371595, rmsd_after=0.5861796722490293
rmsd_before=17.571279300057924, rmsd_after=0.678116722755308
rmsd_before=17.49355193120239, rmsd_after=0.6770272070247444
rmsd_before=17.457787470073868, rmsd_after=0.8048541897642614
rmsd_before=17.398090859471814, rmsd_after=0.8717992615984431
rmsd_before=17.362829537917477, rmsd_after=0.8948957359253218
rmsd_before=17.31290857317834, rmsd_after=0.9459262890001645
rmsd_before=17.19402220332765, rmsd_after=0.9009720045013196
rmsd_before=17.056098315799545, rmsd_after=0.8884006504086891
rmsd_before=16.879898970119843, rmsd_after=0.8463086769506545
rmsd_before=16.727591346248293, rmsd_after=0.8367185010803593
rmsd_before=16.488296726788935, rmsd_after=0.8344866117028258
rmsd_before=16.32228103554634, rmsd_after=0.8347372385204037
rmsd_before=16.05823704768, rmsd_after=0.8832512945602141
rmsd_before=15.884126009823904, rmsd_after=0.8972928297360001
rmsd_before=15.654867556128009, rmsd_after=0.9735861615965787
rmsd_before=15.338404399363343, rmsd_after=0.9274149052625991
rmsd_before=15.0455919793213, rmsd_after=0.8630564042849478
rmsd_before=14.731595741801684, rmsd_after=0.8482521676449951
rmsd_before=14.414169927070352, rmsd_after=0.6848347682528144
rmsd_before=14.101687711823686, rmsd_after=0.7043789775516244
rmsd_before=13.831552173116936, rmsd_after=0.6961006458841614
rmsd_before=13.75428279256042, rmsd_after=0.739862278298329
rmsd_before=13.775456224732643, rmsd_after=0.8168256848726002
rmsd_before=13.727897931508586, rmsd_after=0.8157602797872865
rmsd_before=13.696730480113642, rmsd_after=0.8484131813925653
rmsd_before=13.700305423601119, rmsd_after=0.8361591779501761
rmsd_before=13.620714363400843, rmsd_after=0.8485572482726399
rmsd_before=13.629370876304352, rmsd_after=0.8841632180154734
rmsd_before=13.686819088493419, rmsd_after=0.9167488802609364
rmsd_before=13.517669333167303, rmsd_after=0.9949720597834968
rmsd_before=13.415030391039444, rmsd_after=0.9755619681087503
rmsd_before=13.228278454617074, rmsd_after=1.049320959603546
rmsd_before=13.118512478378895, rmsd_after=1.0435790892969514
rmsd_before=12.92762251885267, rmsd_after=1.0783653279976502
rmsd_before=12.78033259105031, rmsd_after=1.091433096399669
rmsd_before=12.599758171957403, rmsd_after=0.9509072957334304
rmsd_before=12.320432083686256, rmsd_after=0.9746924941849349
rmsd_before=12.098461621604425, rmsd_after=0.9552212583932118
rmsd_before=11.750436520014716, rmsd_after=0.9042328458038221
rmsd_before=11.872446367800178, rmsd_after=0.9965186508658421
rmsd_before=12.05559512193608, rmsd_after=0.956210950016702
rmsd_before=12.04564359107238, rmsd_after=1.1794608086742853
rmsd_before=12.053282035043571, rmsd_after=1.085066132687853
